Number,Journal tittle,Platform,Indexed on Google Scholar,Indexed on Scopus,Idexed on Google Scholar and Scopus,Indexed on at least one platform,Open Access Journal,Journal listed in the Directory of Open Access (DOAJ),Present on International Standard Serial Number (ISSN) portal,The publisher is a member of Committee on publication Ethics (COPE),Online publisher based in Africa,Hosted on INASP'S Journal online,African Journal Online (AJOL),SABINET Journal repository
289,Continuing Medical Education,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
290,Critical Arts,African Journal Online (AJOL),1,1,1,1,0,0,1,1,0,1,1,0
291,Critical Studies in Teaching and Learning,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1,1,0
292,Current Writing: Text and Reception in Southern Africa,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
293,English in Africa,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1,1,0
294,Ergonomics SA,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
295,ESARBICA Journal: Journal of the Eastern and Southern Africa Regional Branch of the International Council on Archives,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
296,Health SA Gesondheid,African Journal Online (AJOL),1,1,1,1,1,1,1,1,1,1,1,0
297,HTS Teologiese Studies / Theological Studies,African Journal Online (AJOL),0,1,0,1,1,1,1,1,1,1,1,0
298,Indilinga: African Journal of Indigenous Knowledge Systems,African Journal Online (AJOL),1,0,0,1,0,0,1,0,0,1,1,0
299,Indo-Pacific Journal of Phenomenology,African Journal Online (AJOL),0,0,0,0,1,1,1,1,0,1,1,0
300,Inkanyiso: Journal of Humanities and Social Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
301,Innovation,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
302,International Journal of African Higher Education,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
303,International Journal of Emotional Psychology and Sport Ethics,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
304,Italian Studies in Southern Africa/Studi d'Italianistica nell'Africa Australe,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
305,Journal for Islamic Studies,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1,1,0
306,Journal for Juridical Science,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
307,Journal for Language Teaching,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
308,Journal for the Study of Religion,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
309,Journal of Child and Adolescent Mental Health,African Journal Online (AJOL),0,1,0,1,0,0,1,0,1,1,1,0
310,Journal of Consumer Sciences,African Journal Online (AJOL),0,0,0,0,1,1,1,0,0,1,1,0
311,"Journal of Endocrinology, Metabolism and Diabetes of South Africa",African Journal Online (AJOL),0,1,0,1,1,1,1,0,1,1,1,0
312,Journal of Psychology in Africa,African Journal Online (AJOL),1,1,1,1,0,0,1,1,0,1,1,0
313,Journal of Student Affairs in Africa,African Journal Online (AJOL),1,0,0,1,1,1,1,0,1,1,1,0
314,Journal of the Musical Arts in Africa,African Journal Online (AJOL),0,1,0,1,0,0,1,0,1,1,1,0
315,Journal of the Pan African Thoracic Society,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
316,Journal of the South African Society of Archivists,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
317,"Law, Democracy & Development",African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
318,Lexikos,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1,1,0
319,Metamorphosis,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
320,New Agenda: South African Journal of Social and Economic Policy,African Journal Online (AJOL),1,0,0,1,0,0,0,0,1,1,1,0
321,Obstetrics and Gynaecology Forum,African Journal Online (AJOL),1,1,1,1,0,0,1,0,0,1,1,0
322,ORiON,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1,1,0
323,Ostrich: Journal of African Ornithology,African Journal Online (AJOL),0,0,0,0,0,0,1,1,0,1,1,0
324,Perspectives in Education,African Journal Online (AJOL),1,1,1,1,1,1,1,0,0,1,1,0
325,Philosophical Papers,African Journal Online (AJOL),0,1,0,1,0,0,0,0,0,1,1,0
326,Potchefstroom Electronic Law Journal/Potchefstroomse Elektroniese Regsblad,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
327,Quaestiones Mathematicae,African Journal Online (AJOL),1,1,1,1,0,0,1,1,0,1,1,0
328,Research in Hospitality Management,African Journal Online (AJOL),1,0,0,1,1,0,1,1,0,1,1,0
329,SA Journal of Radiology,African Journal Online (AJOL),1,0,0,1,1,1,1,1,1,1,1,0
330,SAHARA-J: Journal of Social Aspects of HIV/AIDS,African Journal Online (AJOL),0,0,0,0,1,1,1,1,0,1,1,0
331,Scientia Militaria: South African Journal of Military Studies,African Journal Online (AJOL),1,0,0,1,1,1,1,0,1,1,1,0
332,Shakespeare in Southern Africa,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
333,South African Actuarial Journal,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
334,South African Crime Quarterly,African Journal Online (AJOL),1,0,0,1,1,1,0,0,1,1,1,0
335,South African Family Practice,African Journal Online (AJOL),1,1,1,1,1,1,1,1,1,1,1,0
336,South African Gastroenterology Review,African Journal Online (AJOL),1,1,1,1,0,0,1,0,1,1,1,0
337,"South African Journal for Research in Sport, Physical Education and Recreation",African Journal Online (AJOL),1,1,1,1,0,0,1,0,1,1,1,0
338,South African Journal of African Languages,African Journal Online (AJOL),1,1,1,1,0,0,1,1,0,1,1,0
339,South African Journal of Agricultural Extension,African Journal Online (AJOL),1,0,0,1,1,1,1,0,1,1,1,0
340,South African Journal of Animal Science,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1,1,0
341,South African Journal of Bioethics and Law,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1,1,0
342,South African Journal of Botany,African Journal Online (AJOL),1,1,1,1,0,0,1,1,0,1,1,0
343,South African Journal of Chemistry,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1,1,0
344,South African Journal of Child Health,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1,1,0
345,South African Journal of Clinical Nutrition,African Journal Online (AJOL),1,1,1,1,1,0,1,1,0,1,1,0
346,South African Journal of Cultural History,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
347,South African Journal of Education,African Journal Online (AJOL),1,1,1,1,1,1,1,1,1,1,1,0
348,South African Journal of Geomatics,African Journal Online (AJOL),1,0,0,1,1,0,1,0,0,1,1,0
349,South African Journal of Higher Education,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1,1,0
350,South African Journal of Obstetrics and Gynaecology,African Journal Online (AJOL),1,1,1,1,1,0,1,0,1,1,1,0
351,South African Journal of Philosophy,African Journal Online (AJOL),1,1,1,1,0,0,1,1,1,1,1,0
352,South African Journal of Plant and Soil,African Journal Online (AJOL),1,1,1,1,0,0,1,1,0,1,1,0
353,South African Journal of Psychiatry,African Journal Online (AJOL),1,1,1,1,1,1,1,1,1,1,1,0
354,South African Journal of Science,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1,1,0
355,South African Journal of Sports Medicine,African Journal Online (AJOL),1,0,0,1,1,1,1,0,1,1,1,0
356,South African Journal of Surgery,African Journal Online (AJOL),1,1,1,1,1,0,1,0,1,1,1,0
357,South African Medical Journal,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1,1,0
358,South African Music Studies,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
359,Southern African Business Review,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
360,Southern African Journal of Anaesthesia and Analgesia,African Journal Online (AJOL),1,1,1,1,1,0,1,1,0,1,1,0
361,Southern African Journal of Critical Care,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1,1,0
362,Southern African Journal of Environmental Education,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1,1,0
363,Southern African Journal of HIV Medicine,African Journal Online (AJOL),1,1,1,1,1,1,1,1,1,1,1,0
364,Southern African Linguistics and Applied Language Studies,African Journal Online (AJOL),1,1,1,1,0,0,1,1,0,1,1,0
365,Southern Forests: a Journal of Forest Science,African Journal Online (AJOL),1,0,0,1,0,0,1,1,0,1,1,0
366,Stellenbosch Papers in Linguistics,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1,1,0
367,Stellenbosch Papers in Linguistics Plus,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1,1,0
368,Town and Regional Planning,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1,1,0
369,Tydskrif vir letterkunde,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1,1,0
370,Vulture News,African Journal Online (AJOL),0,0,0,0,1,0,1,0,0,1,1,0
371,Water SA,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1,1,0
372,African Journal of Biotechnology,African Journal Online (AJOL),1,1,1,1,1,0,1,0,1,1,1,0
373,African Journal of Food and Nutritional Security,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
374,"African Journal of Food, Agriculture, Nutrition and Development",African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1,1,0
375,African Journal of Health Sciences,African Journal Online (AJOL),1,1,1,1,1,0,1,0,1,1,1,0
376,African Journal of Oral Health Sciences,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
377,African Journal of Rheumatology,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
378,African Journal of Science and Technology,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
379,Anatomy Journal of Africa,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
380,Annals of African Surgery,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1,1,0
381,Bulletin of Animal Health and Production in Africa,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1,1,0
382,Cradle of Knowledge: African Journal of Educational and Social Science Research (The),African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
383,Discovery and Innovation,African Journal Online (AJOL),0,1,0,1,0,0,1,0,1,1,1,0
384,East African Agricultural and Forestry Journal,African Journal Online (AJOL),0,0,0,0,0,0,1,1,0,1,1,0
385,East African Journal of Statistics,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
386,East African Medical Journal,African Journal Online (AJOL),1,1,1,1,0,0,1,0,1,1,1,0
387,East African Orthopaedic Journal,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
388,East and Central African Journal of Pharmaceutical Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
389,"Journal of Agriculture, Science and Technology - JKUAT",African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
390,Journal of Applied Biosciences,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
391,Journal of Civil Engineering Research and Practice,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
392,"Journal of Civil Engineering, JKUAT",African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
393,Journal of East African Natural History,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
394,Journal of Food Technology in Africa,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
395,"Journal of Language, Technology & Entrepreneurship in Africa",African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
396,Journal of Obstetrics and Gynaecology of Eastern and Central Africa,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
397,Journal of Tropical Microbiology and Biotechnology,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
398,KCA Journal of Business Management,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
399,Kenya Veterinarian,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
400,Scopus: Journal of East African Ornithology,African Journal Online (AJOL),0,1,0,1,1,0,1,0,1,1,1,0
401,Thought and Practice,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
402,African Journal of Chemical Education,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
403,African Research Review,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
404,AFRREV IJAH: An International Journal of Arts and Humanities,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
405,"AFRREV LALIGENS: An International Journal of Language, Literature and Gender Studies",African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
406,AFRREV STECH: An International Journal of Science and Technology,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
407,Bulletin of the Chemical Society of Ethiopia,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1,1,0
408,East African Journal of Biophysical and Computational Sciences,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1,1,0
409,East African Journal of Sciences,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1,1,0
410,Eastern Africa Social Science Research Review,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
411,Ethiopian Journal of Agricultural Sciences,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
412,Ethiopian Journal of Biological Sciences,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
413,Ethiopian Journal of Business and Economics (The),African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
414,Ethiopian Journal of Development Research,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
415,Ethiopian Journal of Economics,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
416,Ethiopian Journal of Education,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
417,Ethiopian Journal of Education and Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
418,Ethiopian Journal of Environmental Studies and Management,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
419,Ethiopian Journal of Health Development,African Journal Online (AJOL),1,1,1,1,1,0,1,0,1,1,1,0
420,Ethiopian Journal of Health Sciences,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1,1,0
421,Ethiopian Journal of Human Rights,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
422,Ethiopian Journal of Pediatrics and Child Health,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
423,Ethiopian Journal of Science and Sustainable Development,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1,1,0
424,Ethiopian Journal of Science and Technology,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
425,Ethiopian Journal of the Social Sciences and Humanities,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
426,Ethiopian Pharmaceutical Journal,African Journal Online (AJOL),0,1,0,1,0,0,1,0,1,1,1,0
427,Ethiopian Veterinary Journal,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
428,Haramaya Law Review,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
429,Journal of Business and Administrative Studies,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
430,Journal of Ethiopian Medical Practice,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
431,Mizan Law Review,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1,1,0
432,Momona Ethiopian Journal of Science,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1,1,0
433,Oromia Law Journal,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
434,"Science, Technology and Arts Research Journal",African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
435,SINET: Ethiopian Journal of Science,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
436,Zede Journal,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
437,African Journal of Current Medical Research,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
438,African Journal of Educational Studies in Mathematics and Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
439,African Journal of Management Research,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
440,Agricultural and Food Science Journal of Ghana,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
441,Contemporary Journal of African Studies,African Journal Online (AJOL),1,1,1,1,0,0,1,0,0,1,1,0
442,Ghana Dental Journal,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
443,Ghana Journal of Agricultural Science,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
444,Ghana Journal of Development Studies,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
445,Ghana Journal of Forestry,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
446,Ghana Journal of Geography,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
447,Ghana Journal of Linguistics,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
448,Ghana Journal of Science,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
449,Ghana Library Journal,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
450,Ghana Medical Journal,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1,1,0
451,Ghana Mining Journal,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
452,"International Journal of Pedagogy, Policy and ICT in Education",African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
453,Journal of Applied Science and Technology,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1,1,0
454,Journal of Business Research,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1,1,0
455,Journal of Medical and Biomedical Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
456,Journal of Philosophy and Culture,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
457,Journal of Science and Technology (Ghana),African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
458,Journal of the Ghana Institution of Engineers,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
459,Journal of the Ghana Science Association,African Journal Online (AJOL),0,1,0,1,0,0,1,0,1,1,1,0
460,Legon Journal of the Humanities,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1,1,0
461,Mathematics Connection,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
462,Regional Maritime University Journal,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
463,Research Review of the Institute of African Studies,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
464,Studies in Gender and Development in Africa,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
465,West African Journal of Applied Ecology,African Journal Online (AJOL),1,1,1,1,1,0,1,0,1,1,1,0
466,African Journal of Accounting and Social Science Studies,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
467,African Journal of Economic Review,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
468,African Journal of Finance and Management,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
469,Dar Es Salaam Medical Students' Journal,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
470,East African Health Research Journal,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
471,East African Journal of Education and Social Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
472,East African Journal of Public Health,African Journal Online (AJOL),0,1,0,1,0,0,1,0,1,1,1,0
473,Huria: Journal of the Open University of Tanzania,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
474,IMTU Medical Journal,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
475,Jarida la Chama cha Lugha na Fasihi ya Kiswahili Tanzania (CHALUFAKITA),African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
476,Journal of Building and Land Development,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
477,Journal of Sociology and Development,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
478,Kioo cha Lugha,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1,1,0
479,Kiswahili,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1,1,0
480,Tanzania Dental Journal,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
481,Tanzania Journal of Agricultural Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
482,Tanzania Journal of Development Studies,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
483,Tanzania Journal of Engineering and Technology,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
484,Tanzania Journal of Forestry and Nature Conservation,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
485,Tanzania Journal of Health Research,African Journal Online (AJOL),1,1,1,1,1,0,1,0,1,1,1,0
486,Tanzania Journal of Science,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
487,Tanzania Medical Journal,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
488,Tanzania Veterinary Journal,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1,1,0
489,University of Dar es Salaam Library Journal,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
490,Western Indian Ocean Journal of Marine Science,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
491,African Journal of Gastroenterology and Hepatology,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
492,African Journal of Urology,African Journal Online (AJOL),0,1,0,1,1,1,1,1,0,1,1,0
493,Alexandria Journal of Medicine,African Journal Online (AJOL),1,0,0,1,1,1,1,1,0,1,1,0
494,Annals of Pediatric Surgery,African Journal Online (AJOL),0,1,0,1,1,1,1,1,0,1,1,0
495,Egyptian Journal of Biochemistry and Molecular Biology,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
496,Egyptian Journal of Biology,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
497,Egyptian Journal of Biomedical Sciences,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
498,Egyptian Journal of Biotechnology,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
499,Egyptian Journal of Hospital Medicine,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
500,Egyptian Journal of Medical Human Genetics,African Journal Online (AJOL),1,1,1,1,1,1,1,1,0,1,1,0
501,Egyptian Journal of Medical Laboratory Sciences,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
502,Egyptian Journal of Natural History,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
503,Egyptian Journal of Pediatric Allergy and Immunology (The),African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
504,Evidence-Based Nursing Research,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
505,Mansoura Veterinary Medical Journal,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
506,Microbes and Infectious Diseases,African Journal Online (AJOL),1,0,0,1,1,1,1,1,1,1,1,0
507,New Egyptian Journal of Microbiology,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
508,Scientific Medical Journal,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
509,Zagazig Journal of Occupational Health and Safety,African Journal Online (AJOL),0,0,0,0,0,0,1,1,1,1,1,0
510,African Journal of Neurological Sciences,African Journal Online (AJOL),1,1,1,1,1,0,1,0,1,1,1,0
511,Afrique Science: Revue Internationale des Sciences et Technologie,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
512,Agronomie Africaine,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
513,Sciences & Nature,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
514,Journal of the Eritrean Medical Association,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
515,Lwati: A Journal of Contemporary Research,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
516,UNISWA Journal of Agriculture,African Journal Online (AJOL),0,0,0,0,0,0,1,0,0,1,1,0
517,"UNISWA Research Journal of Agriculture, Science and Technology",African Journal Online (AJOL),0,0,0,0,0,0,1,0,0,1,1,0
518,Orapuh Journal,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1,1,0
519,Review of Southern African Studies,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
520,AlQalam Journal of Medical and Applied Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
521,Libyan Journal of Medicine,African Journal Online (AJOL),1,1,1,1,1,1,1,1,0,1,1,0
522,Open Veterinary Journal,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1,1,0
523,Madagascar Conservation & Development,African Journal Online (AJOL),0,0,0,0,1,0,1,0,0,1,1,0
524,Journal of Development and Communication Studies,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
525,Journal of Humanities,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
526,Malawi Journal of Science and Technology,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
527,Malawi Medical Journal,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1,1,0
528,Archives of Medical and Biomedical Research,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
529,Internet Journal of Medical Update – EJOURNAL,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
530,University of Mauritius Research Journal,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
531,African Journal of Governance and Development,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
532,BNR Economic Review,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
533,Rwanda Journal,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1,1,0
534,Rwanda Journal of Agricultural Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
535,"Rwanda Journal of Engineering, Science, Technology and Environment",African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
536,Rwanda Journal of Health Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
537,Rwanda Journal of Medicine and Health Sciences,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
538,"Rwanda Journal of Social Sciences, Humanities and Business",African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
539,Rwanda Medical Journal,African Journal Online (AJOL),0,1,0,1,1,1,1,0,1,1,1,0
540,Rwandan Journal of Education,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
541,Africa Development,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
542,African Environment,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
543,African Journal of International Affairs,African Journal Online (AJOL),0,1,0,1,1,0,1,0,1,1,1,0
544,African Sociological Review / Revue Africaine de Sociologie,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
545,Afrika Statistika,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
546,Journal des Sciences Pour l'Ingénieur,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
547,Sierra Leone Journal of Biomedical Research,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
